lead_time,avg_price_per_room,no_of_special_requests,booking_status
224,65,0,Not_Canceled
5,106.68,1,Not_Canceled
1,60,0,Canceled
211,100,0,Canceled
48,94.5,0,Canceled
346,115,1,Canceled
34,107.55,1,Not_Canceled
83,105.61,1,Not_Canceled
121,96.9,1,Not_Canceled
44,133.44,3,Not_Canceled
0,85.03,0,Not_Canceled
35,140.4,1,Not_Canceled
30,88,0,Canceled
95,90,2,Canceled
47,94.5,2,Not_Canceled
256,115,1,Canceled
0,96,0,Not_Canceled
1,96,1,Not_Canceled
99,65,0,Canceled
12,72,0,Not_Canceled
99,65,0,Canceled
122,67,0,Not_Canceled
2,85,0,Not_Canceled
37,105,0,Not_Canceled
130,94.5,1,Not_Canceled
99,114.3,1,Not_Canceled
60,65,0,Not_Canceled
2,110,0,Canceled
37,37.33,0,Canceled
56,82,0,Not_Canceled
3,177.5,1,Not_Canceled
107,87.5,1,Not_Canceled
56,82.44,1,Not_Canceled
2,69.5,1,Not_Canceled
72,85.5,0,Not_Canceled
23,115,1,Not_Canceled
34,81,0,Canceled
289,67,0,Not_Canceled
247,63.75,0,Canceled
186,121.8,1,Canceled
64,93.6,2,Not_Canceled
35,102,1,Not_Canceled
96,121.8,1,Not_Canceled
41,98.1,1,Canceled
55,60,1,Not_Canceled
146,75,0,Not_Canceled
32,73,0,Not_Canceled
55,104,0,Not_Canceled
57,79.2,1,Not_Canceled
7,125.8,2,Not_Canceled
124,87.95,0,Not_Canceled
169,106,0,Canceled
6,136.67,1,Not_Canceled
51,60,1,Not_Canceled
13,89,2,Not_Canceled
100,136,1,Not_Canceled
139,94.5,1,Not_Canceled
117,93.6,2,Not_Canceled
39,120.6,0,Canceled
86,99.3,1,Not_Canceled
2,258,1,Not_Canceled
19,120.12,2,Not_Canceled
192,95,0,Not_Canceled
2,0,1,Not_Canceled
86,75,0,Not_Canceled
30,157.5,2,Not_Canceled
179,97.7,1,Not_Canceled
26,142,0,Canceled
55,80,0,Not_Canceled
74,85.5,1,Not_Canceled
143,100,0,Not_Canceled
34,88,2,Not_Canceled
30,122.85,1,Not_Canceled
177,100,0,Canceled
34,75,0,Not_Canceled
18,116.8,1,Not_Canceled
267,121.5,0,Not_Canceled
64,111.9,1,Not_Canceled
155,121.55,2,Canceled
46,75,1,Not_Canceled
83,159.3,0,Canceled
128,132.3,0,Canceled
20,88,2,Not_Canceled
40,98.82,0,Not_Canceled
46,98.3,1,Not_Canceled
1,150,2,Not_Canceled
196,96.05,1,Not_Canceled
188,130,0,Canceled
17,95,0,Not_Canceled
146,113.56,0,Not_Canceled
110,101.58,1,Not_Canceled
68,105.3,0,Not_Canceled
73,115.8,1,Not_Canceled
92,149.4,1,Not_Canceled
171,111.59,0,Canceled
134,130.5,2,Not_Canceled
320,115,1,Canceled
118,90.95,1,Not_Canceled
30,76.08,1,Not_Canceled
30,156.9,0,Not_Canceled
189,85.5,2,Not_Canceled
55,159.3,2,Not_Canceled
55,74.8,2,Not_Canceled
16,95,1,Not_Canceled
24,107,1,Not_Canceled
8,64,0,Not_Canceled
10,82.95,0,Not_Canceled
0,155,1,Not_Canceled
12,101.68,1,Not_Canceled
32,94.5,3,Not_Canceled
182,117.9,2,Canceled
1,127,1,Not_Canceled
122,116.1,2,Not_Canceled
40,117.9,1,Not_Canceled
116,184.24,1,Canceled
123,155.7,1,Not_Canceled
40,135.76,0,Canceled
105,102.83,3,Not_Canceled
443,65,0,Canceled
2,103,1,Not_Canceled
317,106.2,1,Canceled
286,58.5,0,Not_Canceled
68,73.95,0,Canceled
148,105.3,0,Not_Canceled
68,133.2,2,Not_Canceled
30,85.5,0,Not_Canceled
14,112,1,Canceled
110,190.8,0,Canceled
117,110,0,Not_Canceled
85,91.48,1,Not_Canceled
1,135,2,Not_Canceled
25,129,2,Not_Canceled
289,70.55,2,Canceled
28,75,0,Not_Canceled
80,72.25,0,Not_Canceled
11,155,2,Not_Canceled
162,121.5,2,Canceled
155,90.95,2,Not_Canceled
82,109.65,0,Not_Canceled
27,142.72,0,Canceled
13,90,0,Not_Canceled
245,75,0,Canceled
11,111,1,Canceled
266,86.7,2,Not_Canceled
